更新时间: 2026-04-16 16:57:29（北京时间）

更新时间,#genre#
2026-04-16 16:57:29,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
山东教育卫视,http://27.8.51.243:4022/rtp/225.0.4.183:7980$重庆市联通
中国教育1台,http://60.220.163.54:4022/rtp/226.0.2.68:8456$山西联通
中国教育1台,http://60.220.163.54:4022/rtp/226.0.2.181:9360$山西联通
中国教育1台,http://180.173.121.65:9999/rtp/233.18.204.98:5140$上海市电信
中国教育1台,http://221.219.75.32:4000/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://27.8.51.243:4022/rtp/225.0.4.186:7980$重庆市联通
中国教育2台,http://60.220.163.54:4022/rtp/226.0.2.69:8464$山西联通
中国教育2台,http://221.219.75.32:4000/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://221.219.75.32:4000/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://60.220.163.54:4022/rtp/226.0.2.70:8472$山西联通
中国教育4台,http://180.173.121.65:9999/rtp/233.18.204.111:5140$上海市电信
中国教育4台,http://221.219.75.32:4000/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://27.8.51.243:4022/rtp/225.0.4.182:7980$重庆市联通
早期教育,http://60.220.163.54:4022/rtp/226.0.2.99:8704$山西联通
早期教育,http://180.173.121.65:9999/rtp/233.18.204.187:5140$上海市电信

数字频道,#genre#
CHC动作电影,http://60.220.163.54:4022/rtp/226.0.2.94:8012$山西联通
CHC动作电影,http://180.173.121.65:9999/rtp/233.18.204.174:5140$上海市电信
CHC动作电影,http://27.8.51.243:4022/rtp/225.0.4.229:7980$重庆市联通
CHC家庭影院,http://60.220.163.54:4022/rtp/226.0.2.240:9820$山西联通
CHC家庭影院,http://180.173.121.65:9999/rtp/233.18.204.173:5140$上海市电信
CHC家庭影院,http://27.8.51.243:4022/rtp/225.0.4.228:7980$重庆市联通
CHC影迷电影,http://60.220.163.54:4022/rtp/226.0.2.93:8004$山西联通
CHC影迷电影,http://180.173.121.65:9999/rtp/233.18.204.175:5140$上海市电信
CHC影迷电影,http://27.8.51.243:4022/rtp/225.0.4.230:7980$重庆市联通
淘电影,http://221.219.75.32:4000/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://221.219.75.32:4000/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://221.219.75.32:4000/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://221.219.75.32:4000/rtp/239.3.1.100:8001$北京市联通
求索纪录,http://27.8.51.243:4022/rtp/225.0.4.232:7980$重庆市联通
金鹰纪实,http://60.220.163.54:4022/rtp/226.0.2.194:9464$山西联通
金鹰纪实,http://180.173.121.65:9999/rtp/233.18.204.104:5140$上海市电信
金鹰纪实,http://221.219.75.32:4000/rtp/239.3.1.58:8156$北京市联通
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
纪实科教,http://221.219.75.32:4000/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://221.219.75.32:4000/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://221.219.75.32:4000/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://221.219.75.32:4000/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://221.219.75.32:4000/rtp/239.3.1.128:8001$北京市联通
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
五星体育,http://180.173.121.65:9999/rtp/233.18.204.58:5140$上海市电信
快乐垂钓,http://60.220.163.54:4022/rtp/226.0.2.214:9624$山西联通
快乐垂钓,http://180.173.121.65:9999/rtp/233.18.204.42:5140$上海市电信
快乐垂钓,http://221.219.75.32:4000/rtp/239.3.1.164:8001$北京市联通
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
快乐垂钓,http://27.8.51.243:4022/rtp/225.0.4.213:7980$重庆市联通
茶频道,http://60.220.163.54:4022/rtp/226.0.2.213:9616$山西联通
茶频道,http://180.173.121.65:9999/rtp/233.18.204.43:5140$上海市电信
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
茶频道,http://27.8.51.243:4022/rtp/225.0.4.233:7980$重庆市联通
先锋乒羽,http://60.220.163.54:4022/rtp/226.0.2.121:8880$山西联通
汽摩,http://60.220.163.54:4022/rtp/226.0.2.95:8672$山西联通
汽摩,http://27.8.51.243:4022/rtp/225.0.4.195:7980$重庆市联通
梨园频道,http://60.220.163.54:4022/rtp/226.0.2.115:8832$山西联通
